,uni_name,city_uni,reg_uni,,#NAME?
0,Università Politecnica delle Marche[2],Ancona,,,
1,Università della Valle D'Aosta[3],Aosta,,,
2,Università degli Studi di Bari[4],Bari,,,
3,Politecnico di Bari[5],Bari,,,
4,Libera Università Mediterranea Jean Monnet di Casamassima (LUM) — Università Lum[6],Bari,,,
5,Università del Sannio di Benevento[7],Benevento,,,
6,Università degli Studi Giustino Fortunato[8],Benevento,,,
7,Università degli Studi di Bergamo[9],Bergamo,,,
8,Alma Mater Studiorum - Università di Bologna[10],Bologna,,,
9,Libera Università di Bolzano/Freie Universität Bozen[11],Bolzano,,,
10,Università degli Studi di Scienze Gastronomiche[12],Bra (CN),,,
11,Università degli Studi di Brescia[13],Brescia,,,
12,Università degli Studi di Cagliari[14],Cagliari,,,
13,Università di Camerino[15],Camerino,,,
14,Università degli Studi del Molise[16],Campobasso,,,
15,Università degli Studi di Cassino[17],Cassino,,,
16,"Libera Università ""Carlo Cattaneo"" - LIUC[18]",Castellanza (VA),,,
17,Università degli Studi di Catania[19],Catania,,,
18,"Università degli Studi ""Magna Graecia"" di Catanzaro[20]",Catanzaro,,,
19,"Università degli Studi ""Gabriele D'Annunzio""[21]","Chieti, Pescara",,,
20,Università Kore di Enna[22],Enna,,,
21,Istituto Superiore per le Industrie Artistiche - ISIA di Faenza[23],Faenza,,,
22,Università degli Studi di Ferrara[24],Ferrara,,,
23,Università degli Studi di Firenze[25],Florence,,,
24,SUM - Istituto Italiano di Scienze Umane di Firenze[26],Florence,,,
25,Istituto Superiore per le Industrie Artistiche - ISIA di Firenze[27],Florence,,,
26,Università degli Studi di Foggia[28],Foggia,,,
27,Università degli Studi di Genova[29],Genoa,,,
28,Università degli Studi dell'Aquila[30],L'Aquila,,,
29,Università degli Studi del Salento[31],Lecce,,,
30,"Scuola IMT - Istituzioni, Mercati, Tecnologie - Alti Studi - Lucca[32]",Lucca,,,
31,Università degli Studi di Macerata[33],Macerata,,,
32,Università degli Studi di Messina[34],Messina,,,
33,Università degli Studi di Milano[35],Milan,,,
34,Università degli Studi di Milano-Bicocca[36],Milan,,,
35,Politecnico di Milano[37],Milan,,,
36,Università Cattolica del Sacro Cuore[38],Milan,,,
37,Università Commerciale Bocconi Milano[39],Milan,,,
38,Libera Università di lingue e comunicazione IULM[40],Milan,,,
39,"Libera Università ""Vita Salute S.Raffaele"" Milano[41]",Milan,,,
40,Università Humanitas[42],Milan,,,
41,Università degli Studi di Modena e Reggio Emilia[43],"Modena, Reggio Emilia",,,
42,"Università degli Studi di Napoli ""Federico II""[44]",Naples,,,
43,Università degli Studi della Campania Luigi Vanvitelli[45],Caserta,,,
44,"Università degli Studi di Napoli ""Parthenope""[46]",Naples,,,
45,"Università degli Studi di Napoli ""L'Orientale""[47]",Naples,,,
46,Università degli Studi Suor Orsola Benincasa - Napoli[48],Naples,,,
47,Università degli Studi Pegaso[49],Naples,,,
48,Università degli Studi di Padova[50],Padua,,,
49,Università degli Studi di Palermo[51],Palermo,,,
50,Università degli Studi di Parma[52],Parma,,,
51,Università degli Studi di Pavia[53],Pavia,,,
52,Istituto Universitario di Studi Superiori di Pavia[54],Pavia,,,
53,Università degli Studi di Perugia[55],Perugia,,,
54,Università per Stranieri di Perugia[56],Perugia,,,
55,Università degli Studi di Pisa[57],Pisa,,,
56,Scuola Superiore di Studi Universitari e di Perfezionamento Sant'Anna di Pisa[58],Pisa,,,
57,Scuola Normale Superiore di Pisa[59],Pisa,,,
58,Università degli Studi della Basilicata[60],Potenza,,,
59,"Università degli Studi ""Mediterranea"" di Reggio[61]",Reggio Calabria,,,
60,"Università per Stranieri ""Dante Alighieri"" di Reggio Calabria[62]",Reggio Calabria,,,
61,Università della Calabria[63],Rende (CS),,,
62,Sapienza Università di Roma[64],Rome,,,
63,"Università degli Studi di Roma ""Tor Vergata""[65]",Rome,,,
64,Università degli Studi di Roma Tre[66],Rome,,,
65,"Università degli Studi di Roma ""Foro Italico""[67]",Rome,,,
66,Istituto Superiore per le Industrie Artistiche - ISIA di Roma[68],Rome,,,
67,"Libera Università Internazionale Studi Sociali ""Guido Carli"" LUISS-ROMA[69]",Rome,,,
68,"Libera Università ""Maria SS. Assunta"" (LUMSA)[70]",Rome,,,
69,"Università ""Campus Bio-medico""[71]",Rome,,,
70,Università Europea di Roma[72],Rome,,,
71,Università degli Studi Internazionali di Roma[73],Rome,,,
72,Università degli studi Link Campus University[74],Rome,,,
73,Unitelma Sapienza University[75],Rome,,,
74,St Camillus International University of Health and Medical Sciences[76],Rome,,,
75,Università degli Studi Niccolò Cusano[77],Rome,,,
76,Università degli Studi Guglielmo Marconi[78],Rome,,,
77,Università degli Studi di Salerno[79],Salerno,,,
78,Università degli Studi di Sassari[80],Sassari,,,
79,Università degli Studi di Siena[81],Siena,,,
80,Università per Stranieri di Siena[82],Siena,,,
81,Università degli Studi di Teramo[83],Teramo,,,
82,Università degli Studi di Trento[84],Trento,,,
83,Università degli Studi di Trieste[85],Trieste,,,
84,SISSA – Scuola Superiore di Studi Avanzati di Trieste[86],Trieste,,,
85,Università degli Studi di Torino[87],Turin,,,
86,Politecnico di Torino[88],Turin,,,
87,ESCP Europe Torino Campus[89],Turin,,,
88,International University College of Turin[90],Turin,,,
89,Università degli Studi di Udine[91],Udine,,,
90,"Università degli Studi di Urbino ""Carlo Bo""[92]",Urbino,,,
91,Istituto Superiore per le Industrie Artistiche - ISIA di Urbino[93],Urbino,,,
92,Università degli Studi dell'Insubria[94],"Varese, Como",,,
93,"Università ""Cà Foscari"" di Venezia[95]",Venice,,,
94,Università Iuav di Venezia[96],Venice,,,
95,Istituto Universitario Salesiano Venezia (IUSVE)[97],"Venice, Verona",,,
96,"Università degli Studi del Piemonte Orientale ""Amedeo Avogadro"" - Vercelli[98]",Vercelli,,,
97,Università degli Studi di Verona[99],Verona,,,
98,Università degli Studi della Tuscia[100],Viterbo,,,
99,Universitas Mercatorum,Rome,,,
